Type,Title,Link
Data,Data.gov (The Home of the U.S. Government's Open Data): [data.gov](https,The Home of the U.S. Government's Open Data): [data.gov](https://data.gov/
Data,Google Dataset Search: [datasetsearch.research.google.com](https,https://datasetsearch.research.google.com/
Data,Information is Beautiful: [informationisbeautiful.net/data](https,https://informationisbeautiful.net/data/
Data,NHS Digital: [digital.nhs.uk/data-and-information/statistical-publications-open-data-and-data-products](https,https://digital.nhs.uk/data-and-information/statistical-publications-open-data-and-data-products
Data,NHSRdatasets: [github.com/nhs-r-community/NHSRdatasets](https,https://github.com/nhs-r-community/NHSRdatasets
Data,Office for National Statistics: [www.ons.gov.uk](https,https://www.ons.gov.uk/
Data,Open Geography Portal: [geoportal.statistics.gov.uk](https,https://geoportal.statistics.gov.uk/
Data,Rdatasets: [vincentarelbundock.github.io/Rdatasets/articles/data.html](https,https://vincentarelbundock.github.io/Rdatasets/articles/data.html
Data,Teaching of Statistics in the Health Sciences: [causeweb.org/tshs](https,https://causeweb.org/tshs/
Data,tidyRainbow: [github.com/r-lgbtq/tidyrainbow](https,https://github.com/r-lgbtq/tidyrainbow
Data,TidyTuesday: [github.com/rfordatascience/tidytuesday](https,https://github.com/rfordatascience/tidytuesday
Data,UK Data Service: [ukdataservice.ac.uk](https,https://ukdataservice.ac.uk/
Challenge,30 Day Chart Challenge: [github.com/30DayChartChallenge](https,https://github.com/30DayChartChallenge
Challenge,30 Day Map Challenge: [30daymapchallenge.com](https,https://30daymapchallenge.com/
Challenge,Makeover Monday: [makeovermonday.co.uk](https,https://makeovermonday.co.uk/
Challenge,Sports Viz Sunday: [www.sportsvizsunday.com](https,https://www.sportsvizsunday.com/
Challenge,Storytelling with Data: [community.storytellingwithdata.com/challenges](https,https://community.storytellingwithdata.com/challenges
Challenge,Viz for Social Good: [www.vizforsocialgood.com](https,https://www.vizforsocialgood.com/
Challenge,Wonderful Wednesdays: [www.psiweb.org/sigs-special-interest-groups/visualisation/welcome-to-wonderful-wednesdays](https,https://www.psiweb.org/sigs-special-interest-groups/visualisation/welcome-to-wonderful-wednesdays
